"ItemID","Stock Status","SKU","Date Updated"
"AUBREY-613T27","IN STOCK","27BR3YXX-C613T7",11/18/2016
"AUBREY-6S130","IN STOCK","27BR3YXX-C6S130",11/18/2016
"AUBREY-8","LOW","27BR3YXX-C00008",11/18/2016
"AUBREY-BLUSH","IN STOCK","27BR3YXX-CBLUSH",11/18/2016
"AUBREY-CARAMEL KISS","IN STOCK","27BR3YXX-CCAKSS",11/18/2016
"AUBREY-COCONUT CREAM","IN STOCK","27BR3YXX-CCCREM",11/18/2016
"AUBREY-GINGER BROWN","IN STOCK","27BR3YXX-CGGBRN",11/18/2016
"AUBREY-HOT COCOA","IN STOCK","27BR3YXX-CHTCCA",11/18/2016
"AUBREY-ICED CHAMPAGN","LOW","27BR3YXX-CCDHMP",11/18/2016
"AUBREY-KAHLUA","IN STOCK","27BR3YXX-CKAHLA",11/18/2016
"AUBREY-MALIBU BLONDE","IN STOCK","27BR3YXX-CMBLND",11/18/2016
"AUBREY-MINX","IN STOCK","27BR3YXX-C00MNX",11/18/2016
"AUBREY-PEARL MIST","IN STOCK","27BR3YXX-CPLMST",11/18/2016
"AUBREY-RTD BLONDE","IN STOCK","27BR3YXX-CRBLND",11/18/2016
"AUBREY-RTD MALIBU","IN STOCK","27BR3YXX-CRMALB",11/18/2016
"AUBREY-RTD PLATINUM","IN STOCK","27BR3YXX-CRPLAT",11/18/2016
"AUBREY-RTD ROUGE","IN STOCK","27BR3YXX-CRRUGE",11/18/2016
"AUBREY-RTD SAND STNE","IN STOCK","27BR3YXX-CRSNST",11/18/2016
"AUBREY-RTD VANILL","IN STOCK","27BR3YXX-CRVANL",11/18/2016
"AUBREY-SABLE","IN STOCK","27BR3YXX-CSABLE",11/18/2016
"AUBREY-SAFARI","LOW","27BR3YXX-CSAFAR",11/18/2016
"AUBREY-SILVERSTONE","IN STOCK","27BR3YXX-CSVRSN",11/18/2016
"AUBREY-STRAWBERRY FR","IN STOCK","27BR3YXX-CSFRST",11/18/2016
"AUBREY-SUNSET RED","IN STOCK","27BR3YXX-CSNRED",11/18/2016
"AUBREY-T PLATINUM","IN STOCK","27BR3YXX-CTPLAT",11/18/2016
"AUBREY-TANGELO","IN STOCK","27BR3YXX-CTANGL",11/18/2016
"AVA-1","IN STOCK","2V2XXXXX-C00001",11/18/2016
"AVA-12S28","IN STOCK","2V2XXXXX-C12S28",11/18/2016
"AVA-1B","IN STOCK","2V2XXXXX-C0001B",11/18/2016
"AVA-2","IN STOCK","2V2XXXXX-C00002",11/18/2016
"AVA-24BT18","IN STOCK","2V2XXXXX-C24B18",11/18/2016
"AVA-26T12","IN STOCK","2V2XXXXX-C26T12",11/18/2016
"AVA-38S60B","IN STOCK","2V2XXXXX-C3860B",11/18/2016
"AVA-4","IN STOCK","2V2XXXXX-C00004",11/18/2016
"AVA-44S60","IN STOCK","2V2XXXXX-C44S60",11/18/2016
"AVA-48S60","IN STOCK","2V2XXXXX-C48S60",11/18/2016
"AVA-6","IN STOCK","2V2XXXXX-C00006",11/18/2016
"AVA-6/27","IN STOCK","2V2XXXXX-C00627",11/18/2016
"AVA-6/28","IN STOCK","2V2XXXXX-C00628",11/18/2016
"AVA-613/12BT","IN STOCK","2V2XXXXX-C61312",11/18/2016
"AVA-613BHL22","IN STOCK","2V2XXXXX-C61322",11/18/2016
"AVA-AQUA","IN STOCK","2V2XXXXX-C0AQUA",11/18/2016
"AVA-BAMBOO","IN STOCK","2V2XXXXX-C0BAMB",11/18/2016
"AVA-BLUSH","IN STOCK","2V2XXXXX-CBLUSH",11/18/2016
"AVA-BUTTERSCOTCH","IN STOCK","2V2XXXXX-CBSTCH",11/18/2016
"AVA-CARAMEL KISS","IN STOCK","2V2XXXXX-CCAKSS",11/18/2016
"AVA-CINNAMON","IN STOCK","2V2XXXXX-CCNAMN",11/18/2016
"AVA-COCONUT CREAM","IN STOCK","2V2XXXXX-CCCREM",11/18/2016
"AVA-COTTON CANDY","IN STOCK","2V2XXXXX-CCNCDY",11/18/2016
"AVA-DARK AUBURN","IN STOCK","2V2XXXXX-CDKAUB",11/18/2016
"AVA-GINGER BROWN","IN STOCK","2V2XXXXX-CGGBRN",11/18/2016
"AVA-GOLD MIST","IN STOCK","2V2XXXXX-CGDMST",11/18/2016
"AVA-HOT COCOA","LOW","2V2XXXXX-CHTCCA",11/18/2016
"AVA-ICED CHAMPAGNE","IN STOCK","2V2XXXXX-CCDHMP",11/18/2016
"AVA-KAHLUA","IN STOCK","2V2XXXXX-CKAHLA",11/18/2016
"AVA-LILAC","IN STOCK","2V2XXXXX-C0LLAC",11/18/2016
"AVA-MALIBU BLONDE","IN STOCK","2V2XXXXX-CMBLND",11/18/2016
"AVA-MERINGUE","IN STOCK","2V2XXXXX-CMERNG",11/18/2016
"AVA-MINX","IN STOCK","2V2XXXXX-C00MNX",11/18/2016
"AVA-SILVERSTONE","IN STOCK","2V2XXXXX-CSVRSN",11/18/2016
"AVA-SUNSET RED","IN STOCK","2V2XXXXX-CSNRED",11/18/2016
"AVA-T PLATINUM","LOW","2V2XXXXX-CTPLAT",11/18/2016
"AVA-WARMTH","IN STOCK","2V2XXXXX-CWRMTH",11/18/2016
"AVA-WINEBERRY","IN STOCK","2V2XXXXX-CWNBRY",11/18/2016
